datei;verdict;grund
#25.png;nehmen;Surreale mechanische Banane mit starker Gothic-Ästhetik
#26 (3).png;nehmen;Psychedelische Kreatur, starke Farben, eigenständig und surreal
#3359.png;nehmen;Starke Komposition, Bananen-Schädel-Fusion, authentisch gothic
#3381.png;nehmen;Starke Symmetrie, intensives Blau, düstere Schädel-Ästhetik
#3381c.png;nehmen;Starke Schädel-Komposition, dystopische Neon-Ästhetik, eigenständig
#3460.png;nehmen;Starke Komposition, Schädel-Rahmen trifft Neon-Primitivismus perfekt
#35 (4)2.png;nehmen;Psychedelische Bananen mit starker surrealer Energie
#3707.png;nehmen;Surreale Bananen-Skelett-Ästhetik mit starker Glitch-Atmosphäre
#3826 (1).png;vielleicht;Interessante Textur, aber zu grell, wenig Dark Art Charakter
#3893.png;nehmen;Starke Cyber-Gothic Ästhetik, biomechanische Bananen faszinieren
#3899.png;nehmen;Starke Komposition, MF DOOM Maske trifft Bananen-Ästhetik perfekt
#4015.png;vielleicht;Interessante X-Form, aber zu kommerziell/logo-artig
#4016.png;nehmen;Starke Symmetrie, digitaler Glitch-Effekt, ikonisch surreal
#4030 (2).png;vielleicht;Interessante Textur, aber Muster wirkt zu dekorativ-repetitiv
#4030 (3).png;nehmen;Starke Komposition, goldene Bananen-Ornamentik trifft düstere Gestik
#4032.png;nehmen;Starke Komposition, gespiegelte Bananen mit hypnotischem Muster
#4033 (1).png;nehmen;Starke X-Form, hypnotische Linien, kosmisch-dunkle Ästhetik
#4048.png;nehmen;Starke Glitch-Ästhetik, biomechanische Details, düstere Tiefe
#4065 (4).png;vielleicht;Interessante Symmetrie, aber zu dekorativ, wenig gothic
#41 3.png;nehmen;Surreale Bananen-Affen-Fusion, stark grotesk und eigenständig
#5.png;nehmen;Goldene Skulptur-Banane mit Totenkopf-Details, starker Gothic-Kontrast
#5ff.png;vielleicht;Bunter Glitch-Hintergrund schwächt die düstere Bananen-Ästhetik
#7 oF.png;nehmen;Neon-Glitch-Ästhetik mit verstecktem Schädel, stark düster
#9jj.png;vielleicht;Interessantes Muster, aber zu dekorativ, wenig Dark Art Charakter
0000.png;nehmen;Expressiver Bananen-Altar mit starkem visuellen Kontrast
1.png;nehmen;Kraftvolle Farbexplosion, ritueller Totempunk trifft Dark Art perfekt
10 ganz neu.png;nehmen;Starke Glitch-Ästhetik, Totenschädel-Bananen sehr eigenständig
100.png;nehmen;Starke Totenkopf-Banane, roher expressiver Stil, unverwechselbar
10oo.jpg;vielleicht;Hypnotisches Muster, aber gelber Hintergrund stört Gothic-Ästhetik
11.png;nehmen;Hypnotische Spiralen, starke Textur, eigenständige dunkle Ästhetik
111.png;nehmen;Starke Glitch-Ästhetik, hypnotische Banane, düster-surreal
11b.png;nehmen;Starke Skull-Komposition, gothic Ästhetik, eigenständiger Stil
123.png;nehmen;Starke Komposition, intensive Farben, eigenständige Skull-Ästhetik
12ll.png;vielleicht;Farbig aber zu poppig, wenig Dark Art Charakter
12sd.png;vielleicht;Interessante Symmetrie, aber Branding-Elemente stören die Wirkung
16.png;nehmen;Starke Komposition, Schädel-Banane-Fusion, düster-expressiv
17 (1).png;vielleicht;Interessante Spirale, aber zu chaotisch und dekorativ
1cv.png;nehmen;Starke Komposition, Totenkopf-Elemente, intensive Farbgebung, eigenständig
2 (1)c.png;nehmen;Chaotische Energie, starke Textur, surrealer Charakter überzeugt
20180430_205549.png;nehmen;Starke Neon-Ästhetik, verzerrte Figur, düster-surreal
22.png;nehmen;Starke Glitch-Ästhetik, dunkle Banane mit surrealer Tiefe
22cccc.png;nehmen;Rohe Ästhetik, surreale Roboterfiguren, starker Dark-Art-Vibe
263sss.png;nehmen;Intensiver Totenkopf, starke Farbkontraste, roher expressiver Stil
283eee.png;vielleicht;Psychedelisch interessant, aber T-Shirt-Mockup wirkt kommerziell
2ccc.png;nehmen;Starke Röntgen-Ästhetik, hypnotisches Muster, düster-surreal
3.png;nehmen;Intensive Feuerästhetik, starke Bananen-Silhouette, sehr eigenständig
333.png;nehmen;Chaotisch-surreale Komposition, starke Farbkontraste, eigenständig
37gg.png;nehmen;Hypnotische Spiralen, okkulte Symbolik, starke Komposition
4.png;nehmen;Starke Symbolik, Schädel und okkulte Ästhetik überzeugend
4054.png;nehmen;Starke Gothic-Ästhetik, Schmetterling skelettartig verzerrt, eindringlicher Glitch-Effekt
410.png;nehmen;Starke Komposition, rote Banane vor Totenkopf-Raster überzeugt
4cc.png;nehmen;Gasmasken-Symmetrie mit irisierender Banane stark dystopisch
75 (2).png;nehmen;Kraftvolle Dualität, psychedelisch-gothic, sehr eigenständig
75.png;nehmen;Psychedelische Totenschädel mit starker Farbexplosion, eigenständig
803.png;nehmen;Starke Komposition, psychedelisch-gothic Kreatur mit eigenständiger Energie
88.png;nehmen;Starke surreale Komposition, hypnotische Spirale, dunkle Atmosphäre
888.png;nehmen;Starke Komposition, hypnotische Spiralen, intensive Dark-Art-Ästhetik
9.png;nehmen;Hypnotische Spirale, starke Farbkontraste, surreal-düster
904hh.png;nehmen;Starke surreale Bildsprache, Skelette in Banane sehr eigenständig
910dd.png;nehmen;Starke Gothic-Ästhetik, Totenschädel in Banane, eigenständig
92pp.png;nehmen;Psychedelischer Totempilz mit starker surrealer Energie
932 (4.png;raus;Zu minimalistisch, keine Dark Art Atmosphäre erkennbar
97.png;nehmen;Starker Pop-Art Skull, psychedelisch und eigenständig
9cc.png;nehmen;Starker Neon-Glow-Effekt, mystischer Hintergrund, eigenständig
fertig 9.png;nehmen;Starke Farbintensität, glitchy Ästhetik, perfekt gothic-surreal
fertig1.png;vielleicht;Interessante Farbverfremdung, aber wenig Dark-Art-Charakter
four banana gold.png;nehmen;Starker Neon-Glow-Effekt, dunkle Gothic-Ästhetik, eigenständig
M1 (34).png;nehmen;Psychedelisches Chamäleon mit starker Neon-Ästhetik, hypnotisch
muster mit hintergrund.png;raus;T-Shirt Mockup, kein eigenständiges Artwork
one show 1600.png;nehmen;Intensiver Cyber-Sugar-Skull, starke Farbchaos-Ästhetik, eigenständig
Screenshot_20230501_231056_Instagram.jpg;nehmen;Starke Komposition, skelettartige Bananen, hypnotisch-surreal
TM 62.png;nehmen;Starke Komposition, ikonisches Bananen-X, düsterer Cybergoth-Stil
TM 89 (1).png;vielleicht;T-Shirt-Mockup wirkt kommerziell, dämonisches Motiv aber stark
TM101.png;vielleicht;Interessantes Konzept aber T-Shirt-Mockup wirkt zu kommerziell
TWDC#47 (2.png;nehmen;Starke Dark-Art-Komposition mit Totenkopf und surrealer Tiefe
#1.png;nehmen;Starke Bananen-Symmetrie, metallisch-surreal, Totenkopf-Muster passt perfekt
#25tt.png;raus;Zu psychedelisch, passt nicht zur Dark Art Ästhetik
#26 (1) (1).png;nehmen;Starke Glitch-Ästhetik, neon-gothic, visuell packend
#3734 (1).png;nehmen;Hypnotischer Spiral-Charakter, starke surreale Dark-Art-Ästhetik
#3734.png;nehmen;Hypnotische Spiralbanane mit starker surrealer Wirkung
#3737.png;nehmen;Verstörendes Gesicht, goldene Banane, starke surreale Komposition
#3743 (1).png;vielleicht;Pixel-Stil interessant, aber zu retro-digital, wenig Dark Art
#3743.png;nehmen;Starke Skull-Pattern-Komposition mit surrealem Charakter
#3753.png;nehmen;Starke Glitch-Ästhetik, hypnotisch düsterer Cyber-Gothic-Stil
#3804.png;nehmen;Starke Glitch-Ästhetik, gothic Schädel-Pattern, eigenständig
#3825 (1).png;nehmen;Starke Neon-Maske, düsterer Glitch-Hintergrund, eigenständig
#3828 (1).png;nehmen;Starke surreale Komposition, psychedelische Maske mit Tiefe
#4001 (2).png;nehmen;Starke Symmetrie, dunkle Ästhetik, Bananen gut integriert
#4010.png;raus;Zu generisch, kaleidoskopisches Muster ohne Dark Art Charakter
#4011.png;nehmen;Surreale Schmetterlings-Stiefel-Metamorphose, starke Gothic-Ästhetik
#4038 (1).png;nehmen;Surreale Kreatur mit hypnotischen Augen, starke Textur
#4050.png;nehmen;Starke Ästhetik, mechanisch-organische Verschmelzung, tolle Farbwahl
#5 neuff.png;nehmen;Starke Mixed-Media-Ästhetik, eigenständige surreale Bildsprache
100 (1).png;nehmen;Starke Neon-Ästhetik, düsteres Muster, eigenständiger Cyberpunk-Vibe
1001.png;nehmen;Starke surreale Komposition, organisch-gothic, farbige Augen-Akzente
1024 (1).png;nehmen;Surreale Schichtung, Totenkopf-Detail, hypnotisches Muster stark
129.png;nehmen;Starke Schichtung, Banane und Totenkopf verschmelzen düster
1795~000.png;nehmen;Intensiver psychedelischer Totenkopf, starke Farbexplosion, eigenständig
17rrrr.png;nehmen;Starke Cyber-Gothic-Ästhetik, technische Glitch-Struktur überzeugt
1998.png;nehmen;Starke Skull-Banane-Komposition, intensiver Gothic-Neon-Stil
224ss.png;nehmen;Starke Komposition, toxisch-grüne Ästhetik, düsterer Banana-Skull überzeugt
24 (2)fd.png;nehmen;Starke Glitch-Ästhetik, dunkle Banane mit surrealem Leuchten
28ggj.png;nehmen;Starke Chromosomen-Symbolik, düster-psychedelische Zellteilung
32lo.png;nehmen;Goldene Banane mit Totenkopf-Details, hypnotischer Spiralhintergrund stark
AMain Picture.png;nehmen;Starker Kontrast, ikonischer Totenkopf-Stier, markante rote Akzente
Screenshot 2022-07-13 075832.png;nehmen;Starke Komposition, dystopische Skyline, grüne Totenschädel gothic
V29.png;nehmen;Starke Farbdynamik, Schädel-Banane, düsterer surrealer Stil
_16-removebg-preview (4).png;nehmen;Mystische Armillarsphäre, starke okkulte Atmosphäre, eigenständig
